"id","signup_date","loyalty","location","gender","age","favorite_movie_line","number_of_purchases","value_of_purchases","total_standard_points","total_points_redeemed","first_order_date","last_order_date","time_between_purchases","average_order_value","time_to_first_purchase"
64,"2012-01-03","enrolled","SF",NA,"youthful",NA,4,17806,1760,0,"2012-02-01","2013-11-20",171.75,4451.5,29
65,"2012-01-03","control",NA,NA,NA,"Well, nobody's perfect.",43,161329,0,0,"2012-01-03","2013-12-20",16.6744186046512,3751.83720930233,0
66,"2012-01-03","control","SF",NA,"wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
67,"2012-01-03","enrolled",NA,"B",NA,"As God is my witness, I'll never be hungry again.",1,658,60,0,"2012-07-01","2012-07-01",179,658,179
68,"2012-01-03","control","LA","A",NA,"Mother of mercy, is this the end of Rico?",41,44492,0,0,"2012-02-07","2013-12-19",17.4634146341463,1085.17073170732,35
69,"2012-01-03","control",NA,"D","young",NA,56,90653,0,0,"2012-01-22","2013-11-27",12.3928571428571,1618.80357142857,19
70,"2012-01-03","enrolled","NY","B","oldish","It's alive!  It's alive!",68,121986,11760,10000,"2012-01-03","2013-12-18",10.5147058823529,1793.91176470588,0
71,"2012-01-03","control",NA,"A",NA,"Here's looking at you, kid.",4,2601,0,0,"2012-05-25","2013-06-23",134,650.25,142
72,"2012-01-03","control","LA",NA,NA,"Mrs. Robinson, you're trying to seduce me.  Aren't you?",33,44514,0,0,"2012-01-26","2013-11-11",20.5454545454545,1348.90909090909,23
73,"2012-01-03","control",NA,"D",NA,NA,9,22396,0,0,"2012-09-23","2013-12-27",80.4444444444444,2488.44444444444,263
74,"2012-01-03","control",NA,NA,"wise","Listen to them.  Children of the night.  What music they make.",1,2282,0,0,"2012-12-26","2012-12-26",358,2282,358
75,"2012-01-03","control",NA,"D","wise","Stella!  Hey, Stella!",12,14437,0,0,"2012-03-24","2013-08-07",48.4166666666667,1203.08333333333,80
76,"2012-01-03","enrolled",NA,"B",NA,NA,46,51914,4980,0,"2012-01-14","2013-12-17",15.5217391304348,1128.5652173913,11
77,"2012-01-03","control",NA,"D","young",NA,2,4119,0,0,"2012-04-11","2012-05-26",71.5,2059.5,98
78,"2012-01-03","enrolled","LA","D","young","It's alive!  It's alive!",3,5716,570,0,"2012-01-04","2013-11-20",229,1905.33333333333,1
79,"2012-01-03","enrolled","SF","C",NA,"Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
80,"2012-01-03","control",NA,"C","oldish",NA,3,4907,0,0,"2012-05-08","2013-06-17",176.666666666667,1635.66666666667,125
81,"2012-01-03","control","SF",NA,"oldish","You know how to whistle, don't you, Steve? You just put your lips together and blow.",3,1811,0,0,"2012-07-20","2013-12-13",236.666666666667,603.666666666667,198
82,"2012-01-03","control",NA,NA,NA,"I'll get you, my pretty, and your little dog, too!",2,3199,0,0,"2013-10-31","2013-11-30",348.5,1599.5,666
83,"2012-01-03","control","SF",NA,"young","Well, nobody's perfect.",3,2349,0,0,"2012-07-23","2013-08-24",199.333333333333,783,201
84,"2012-01-03","enrolled",NA,"D",NA,"Who's on first.",3,12030,1190,0,"2012-05-20","2013-12-10",235.666666666667,4010,137
85,"2012-01-03","control",NA,NA,NA,NA,87,209176,0,0,"2012-01-06","2013-12-28",8.33333333333333,2404.32183908046,3
86,"2012-01-03","enrolled",NA,NA,NA,NA,18,113303,11140,10000,"2012-01-04","2013-11-04",37.2777777777778,6294.61111111111,1
87,"2012-01-03","control",NA,NA,NA,"Rosebud.",18,44562,0,0,"2012-02-04","2013-10-08",35.7222222222222,2475.66666666667,32
88,"2012-01-03","enrolled",NA,NA,NA,NA,8,50447,5010,0,"2012-01-10","2013-12-12",88.625,6305.875,7
89,"2012-01-03","control","LA","D",NA,"I'm the king of the world!",3,8033,0,0,"2012-12-11","2013-06-15",176,2677.66666666667,343
90,"2012-01-03","enrolled",NA,"D","young","I love the smell of napalm in the morning. ",9,23879,2330,0,"2012-02-25","2013-10-24",73.2222222222222,2653.22222222222,53
91,"2012-01-03","enrolled","SF",NA,NA,NA,11,37407,3690,0,"2012-01-05","2013-11-15",62,3400.63636363636,2
92,"2012-01-03","enrolled",NA,"C",NA,"Life is a banquet, and most poor suckers are starving to death!",7,37456,3710,0,"2012-03-30","2013-05-14",70.8571428571429,5350.85714285714,86
93,"2012-01-04","enrolled","SF",NA,NA,"I'm walking here!  I'm walking here!",6,12421,1210,0,"2012-02-19","2013-06-23",89.1666666666667,2070.16666666667,46
94,"2012-01-04","control",NA,NA,"oldish",NA,2,9837,0,0,"2012-08-24","2012-11-18",159.5,4918.5,232
95,"2012-01-04","control",NA,"D",NA,"One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.",11,14532,0,0,"2012-02-08","2013-08-28",54.6363636363636,1321.09090909091,35
96,"2012-01-04","control",NA,"A",NA,NA,1,1664,0,0,"2013-02-10","2013-02-10",403,1664,403
97,"2012-01-04","control","SF",NA,NA,"I'm the king of the world!",7,4257,0,0,"2012-01-07","2013-11-30",99.4285714285714,608.142857142857,3
98,"2012-01-04","enrolled","NY",NA,"youthful","Here's looking at you, kid.",8,21913,2150,0,"2012-04-06","2013-12-29",90.625,2739.125,92
99,"2012-01-04","enrolled","NY","D",NA,"Say ""hello"" to my little friend!",65,223884,21840,20000,"2012-01-07","2013-12-25",11.0923076923077,3444.36923076923,3
100,"2012-01-04","control","NY",NA,"wise",NA,17,14899,0,0,"2012-03-23","2013-11-06",39.5294117647059,876.411764705882,78
101,"2012-01-04","control","NY","B",NA,NA,11,25900,0,0,"2012-02-17","2013-09-25",57.1818181818182,2354.54545454545,44
102,"2012-01-04","enrolled","SF",NA,NA,"Greed, for lack of a better word, is good.",99,348044,33980,30000,"2012-01-13","2013-12-17",7.2020202020202,3515.59595959596,9
103,"2012-01-04","control","LA","B",NA,NA,0,0,0,0,NA,NA,NA,NA,NA
104,"2012-01-04","control","NY","A","young",NA,4,7352,0,0,"2012-03-13","2013-09-07",152.75,1838,68
105,"2012-01-04","enrolled","NY",NA,NA,NA,25,54975,5340,5000,"2012-02-13","2013-11-14",27.2,2199,40
106,"2012-01-04","enrolled","LA",NA,"youthful","We rob banks.",8,36230,3600,0,"2012-01-31","2013-12-14",88.75,4528.75,27
107,"2012-01-04","control","NY","C","wise",NA,1,1414,0,0,"2012-11-25","2012-11-25",326,1414,326
108,"2012-01-04","control","LA",NA,NA,"They're here!",6,29528,0,0,"2012-04-14","2013-02-20",68.8333333333333,4921.33333333333,100
109,"2012-01-04","enrolled","LA",NA,NA,NA,62,148519,14480,10000,"2012-02-13","2013-12-19",11.5322580645161,2395.46774193548,40
110,"2012-01-04","enrolled",NA,"D",NA,"Keep your friends close, but your enemies closer.",7,29751,2930,0,"2012-01-25","2013-07-20",80.2857142857143,4250.14285714286,21
111,"2012-01-04","control","LA",NA,"youthful","Fasten your seatbelts. It's going to be a bumpy night.",4,21777,0,0,"2012-06-19","2013-02-25",104.5,5444.25,166
112,"2012-01-04","control","NY",NA,"oldish","Elementary, my dear Watson.",4,9291,0,0,"2012-02-28","2013-06-17",132.25,2322.75,55
113,"2012-01-05","enrolled",NA,NA,"wise",NA,1,1001,100,0,"2012-10-11","2012-10-11",279,1001,279
114,"2012-01-05","control","NY","C","youthful",NA,11,33942,0,0,"2012-01-19","2013-11-16",61.9090909090909,3085.63636363636,14
115,"2012-01-05","enrolled",NA,NA,NA,"They call me Mister Tibbs!",151,716065,70210,65000,"2012-01-10","2013-12-30",4.80132450331126,4742.15231788079,5
116,"2012-01-05","control","SF",NA,NA,NA,2,3588,0,0,"2012-07-20","2013-04-10",230,1794,196
117,"2012-01-05","enrolled","LA","A","oldish",NA,7,11120,1080,0,"2012-07-13","2013-11-28",99,1588.57142857143,189
118,"2012-01-05","control",NA,"C",NA,NA,12,55512,0,0,"2012-05-02","2013-11-05",55.8333333333333,4626,117
119,"2012-01-05","control","LA",NA,"oldish",NA,3,10604,0,0,"2013-06-01","2013-09-22",208.333333333333,3534.66666666667,512
120,"2012-01-05","enrolled",NA,NA,NA,"Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
121,"2012-01-05","control",NA,"D","young","Hello, gorgeous.",14,42320,0,0,"2012-02-12","2013-12-17",50.8571428571429,3022.85714285714,38
122,"2012-01-05","enrolled",NA,NA,NA,NA,17,24135,2320,0,"2012-01-18","2013-11-25",40.5882352941176,1419.70588235294,13
123,"2012-01-05","control","NY","D",NA,NA,8,47437,0,0,"2012-01-07","2013-12-06",87.625,5929.625,2
124,"2012-01-05","control",NA,"D",NA,"They're here!",26,48168,0,0,"2012-02-24","2013-12-29",27.8461538461538,1852.61538461538,50
125,"2012-01-05","control","NY",NA,NA,"My mother thanks you. My father thanks you. My sister thanks you. And I thank you.",4,13749,0,0,"2012-01-21","2013-10-24",164.25,3437.25,16
126,"2012-01-05","control","NY","B","youthful","Take your stinking paws off me, you damned dirty ape.",15,34231,0,0,"2012-01-12","2013-11-04",44.6,2282.06666666667,7
127,"2012-01-05","control",NA,NA,"youthful","My mother thanks you. My father thanks you. My sister thanks you. And I thank you.",6,8416,0,0,"2012-03-18","2013-10-05",106.333333333333,1402.66666666667,72
128,"2012-01-05","enrolled","SF",NA,NA,NA,7,6672,650,0,"2012-01-13","2013-01-04",52.1428571428571,953.142857142857,8
129,"2012-01-05","enrolled","NY",NA,"wise","Of all the gin joints in all the towns in all the world, she walks into mine.",26,33991,3260,0,"2012-01-12","2013-12-19",27.4615384615385,1307.34615384615,7
130,"2012-01-05","control",NA,NA,NA,"It's alive!  It's alive!",2,2324,0,0,"2012-03-10","2013-02-25",208.5,1162,65
131,"2012-01-05","control",NA,NA,NA,"Sawyer, you're going out a youngster, but you've got to come back a star!",39,18374,0,0,"2012-01-19","2013-12-22",18.3846153846154,471.128205128205,14
132,"2012-01-05","control","NY","B","young","Hello, gorgeous.",5,13896,0,0,"2012-04-05","2013-06-23",106.8,2779.2,90
133,"2012-01-05","enrolled",NA,"B",NA,NA,21,73006,7140,5000,"2012-02-06","2013-11-11",32.1904761904762,3476.47619047619,32
134,"2012-01-05","control",NA,"C",NA,"What we've got here is failure to communicate.",2,1555,0,0,"2013-04-20","2013-12-24",359.5,777.5,470
135,"2012-01-05","enrolled","SF","C","youthful",NA,8,28573,2820,0,"2012-05-27","2013-10-22",81.875,3571.625,142
136,"2012-01-05","control","LA",NA,"young",NA,4,4143,0,0,"2012-03-29","2013-03-22",110.25,1035.75,83
137,"2012-01-05","enrolled","LA",NA,"youthful","They're here!",12,69589,6850,5000,"2012-02-10","2013-10-02",52.9166666666667,5799.08333333333,36
138,"2012-01-06","control",NA,NA,NA,"You talking to me?",3,3303,0,0,"2012-03-17","2013-11-22",228.666666666667,1101,70
139,"2012-01-06","enrolled","LA",NA,NA,NA,63,229721,22400,20000,"2012-01-28","2013-11-30",11.015873015873,3646.36507936508,22
140,"2012-01-06","control","SF",NA,"young","Tell 'em to go out there with all they got and win just one for the Gipper.",4,2197,0,0,"2012-08-09","2013-12-02",174,549.25,215
141,"2012-01-06","enrolled",NA,NA,NA,"My mother thanks you. My father thanks you. My sister thanks you. And I thank you.",12,56208,5580,0,"2012-01-19","2013-10-29",55.0833333333333,4684,13
142,"2012-01-06","enrolled",NA,"B",NA,"It's alive!  It's alive!",12,33829,3310,0,"2012-11-12","2013-12-30",60.3333333333333,2819.08333333333,311
143,"2012-01-06","control","SF","D",NA,NA,6,19976,0,0,"2012-02-19","2013-12-16",118.333333333333,3329.33333333333,44
144,"2012-01-06","control",NA,NA,"youthful",NA,8,22804,0,0,"2012-08-10","2013-10-07",79.875,2850.5,216
145,"2012-01-06","enrolled","NY","D","young","You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?",10,13395,1290,0,"2012-01-17","2013-11-07",67.1,1339.5,11
146,"2012-01-06","enrolled","LA","C",NA,NA,71,496376,48820,45000,"2012-01-06","2013-12-30",10.1971830985915,6991.21126760563,0
147,"2012-01-06","control",NA,NA,"wise",NA,1,1814,0,0,"2013-09-19","2013-09-19",621,1814,621
148,"2012-01-06","control",NA,NA,"oldish","One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.",4,4888,0,0,"2012-03-14","2012-11-24",80.75,1222,67
149,"2012-01-06","control",NA,"C",NA,NA,4,11792,0,0,"2012-05-15","2013-11-17",170.25,2948,129
150,"2012-01-06","enrolled","SF",NA,NA,"Frankly, my dear, I don't give a damn.",7,26700,2630,0,"2012-07-14","2013-12-05",99.8571428571429,3814.28571428571,189
151,"2012-01-06","enrolled",NA,NA,"youthful","You can't handle the truth!",2,3614,350,0,"2012-01-30","2012-11-07",153,1807,24
152,"2012-01-06","control","SF","D",NA,NA,1,3815,0,0,"2012-08-26","2012-08-26",232,3815,232
153,"2012-01-06","enrolled","SF",NA,NA,NA,3,5183,500,0,"2012-04-22","2013-01-06",122,1727.66666666667,106
154,"2012-01-06","enrolled",NA,NA,"young",NA,2,4711,460,0,"2012-04-23","2012-12-20",174.5,2355.5,107
155,"2012-01-06","enrolled","NY","B",NA,"Hello, gorgeous.",132,353515,34420,30000,"2012-01-15","2013-12-28",5.46969696969697,2678.14393939394,9
156,"2012-01-06","control",NA,"B",NA,NA,3,9451,0,0,"2013-10-11","2013-11-12",225.333333333333,3150.33333333333,643
157,"2012-01-06","enrolled",NA,NA,"oldish",NA,4,7702,750,0,"2012-06-02","2013-11-16",170,1925.5,147
158,"2012-01-06","control","LA",NA,"young","What we've got here is failure to communicate.",67,97230,0,0,"2012-01-08","2013-11-29",10.3432835820896,1451.19402985075,2
159,"2012-01-07","enrolled","NY",NA,NA,"Is it safe?",9,29441,2900,0,"2012-02-06","2013-12-25",79.7777777777778,3271.22222222222,30
160,"2012-01-07","enrolled","NY","B",NA,NA,42,55624,5290,5000,"2012-01-11","2013-12-29",17.1904761904762,1324.38095238095,4
161,"2012-01-07","enrolled","NY","C",NA,NA,18,97249,9600,5000,"2012-01-10","2013-12-30",40.1666666666667,5402.72222222222,3
162,"2012-01-07","control","LA","A","wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
163,"2012-01-07","control","LA",NA,NA,NA,4,18546,0,0,"2012-07-07","2013-08-30",150,4636.5,181
164,"2012-01-07","control",NA,NA,NA,NA,16,103732,0,0,"2012-02-09","2013-12-30",45.1875,6483.25,33
165,"2012-01-07","enrolled",NA,"B","youthful",NA,16,67529,6620,5000,"2012-01-26","2013-12-28",45.0625,4220.5625,19
166,"2012-01-07","enrolled","SF","C",NA,NA,1,308,30,0,"2012-06-11","2012-06-11",155,308,155
167,"2012-01-07","control",NA,"C","young",NA,0,0,0,0,NA,NA,NA,NA,NA
168,"2012-01-07","enrolled",NA,NA,"oldish",NA,3,1670,150,0,"2012-09-29","2013-12-21",238,556.666666666667,265
169,"2012-01-07","enrolled",NA,"B","wise","Tell 'em to go out there with all they got and win just one for the Gipper.",2,1544,150,0,"2013-01-11","2013-04-12",230,772,370
170,"2012-01-07","enrolled",NA,NA,NA,NA,2,1383,130,0,"2012-07-09","2013-04-22",235,691.5,183
171,"2012-01-07","enrolled","LA","C","young",NA,7,11863,1130,0,"2012-01-12","2013-11-29",98.8571428571429,1694.71428571429,5
172,"2012-01-07","enrolled",NA,NA,NA,NA,64,351883,34610,30000,"2012-01-11","2013-12-17",11.09375,5498.171875,4
173,"2012-01-07","control",NA,NA,NA,NA,3,5367,0,0,"2012-12-22","2013-08-16",195.333333333333,1789,350
174,"2012-01-07","control",NA,"B",NA,"They're here!",1,1068,0,0,"2013-11-12","2013-11-12",675,1068,675
175,"2012-01-07","enrolled","SF","D",NA,"It's alive!  It's alive!",9,21072,2070,0,"2012-02-20","2013-11-02",73.7777777777778,2341.33333333333,44
176,"2012-01-07","enrolled",NA,NA,"young","Toto, I've a feeling we're not in Kansas anymore.",9,43667,4340,0,"2012-02-07","2013-10-19",72.2222222222222,4851.88888888889,31
177,"2012-01-07","enrolled",NA,NA,"wise",NA,32,42816,4130,0,"2012-02-26","2013-12-25",22.4375,1338,50
178,"2012-01-07","control","LA",NA,NA,"Gentlemen, you can't fight in here! This is the War Room!",37,38499,0,0,"2012-01-23","2013-11-24",18.5675675675676,1040.51351351351,16
179,"2012-01-07","enrolled",NA,NA,"youthful",NA,5,16184,1600,0,"2012-08-02","2013-06-27",107.2,3236.8,207
180,"2012-01-07","enrolled","SF",NA,NA,NA,3,5358,520,0,"2012-03-05","2013-07-24",187.666666666667,1786,58
181,"2012-01-07","control",NA,"A","wise","They're here!",8,18996,0,0,"2012-01-28","2013-11-09",84,2374.5,21
182,"2012-01-07","enrolled",NA,NA,NA,NA,6,4177,390,0,"2012-03-25","2013-11-09",112,696.166666666667,77
183,"2012-01-07","enrolled",NA,NA,NA,NA,5,4848,460,0,"2012-01-08","2013-05-22",100,969.6,1
184,"2012-01-07","control",NA,"D",NA,NA,0,0,0,0,NA,NA,NA,NA,NA
185,"2012-01-07","control",NA,NA,"wise",NA,0,0,0,0,NA,NA,NA,NA,NA
186,"2012-01-07","enrolled",NA,NA,"oldish",NA,4,2099,200,0,"2012-04-16","2013-10-07",159.5,524.75,99
187,"2012-01-07","control","LA",NA,NA,"Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
188,"2012-01-07","control","LA",NA,NA,NA,17,89017,0,0,"2012-01-14","2013-10-10",37.7058823529412,5236.29411764706,7
189,"2012-01-07","control",NA,"C",NA,"They call me Mister Tibbs!",5,5223,0,0,"2012-01-30","2013-02-28",83.6,1044.6,23
190,"2012-01-07","enrolled","LA",NA,NA,NA,121,573334,56160,55000,"2012-01-10","2013-12-24",5.92561983471074,4738.29752066116,3
191,"2012-01-07","control","NY","D","youthful",NA,11,100613,0,0,"2012-01-15","2013-10-13",58.5454545454545,9146.63636363636,8
192,"2012-01-07","control","SF","A","wise","You don't understand!  I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.",2,2501,0,0,"2012-02-12","2012-03-01",27,1250.5,36
193,"2012-01-07","control","LA","A","oldish",NA,36,78870,0,0,"2012-02-15","2013-12-08",19.4722222222222,2190.83333333333,39
194,"2012-01-07","control","LA","B",NA,NA,4,2984,0,0,"2012-08-12","2013-12-26",179.75,746,217
195,"2012-01-07","enrolled","NY","A","youthful",NA,4,10730,1050,0,"2012-02-20","2013-10-16",161.75,2682.5,44
196,"2012-01-07","control",NA,NA,"wise",NA,1,293,0,0,"2013-03-07","2013-03-07",425,293,425
197,"2012-01-08","enrolled","SF","A","youthful","A boy's best friend is his mother.",5,6211,600,0,"2012-06-14","2013-05-07",96.8,1242.2,157
198,"2012-01-08","enrolled","SF","C",NA,NA,6,10885,1060,0,"2012-01-23","2013-12-12",117.333333333333,1814.16666666667,15
199,"2012-01-08","control",NA,NA,NA,NA,6,13980,0,0,"2012-03-06","2013-11-28",115,2330,58
200,"2012-01-08","enrolled","LA",NA,NA,NA,14,50927,5000,0,"2012-07-07","2013-12-30",51.5714285714286,3637.64285714286,180
